!	bang|exclamation|mark|point
#	hash|hashtag|lb|number|pound|sign
#⃣	keycap
$	dollar|money|peso|usd
📍	location|map|pin|pushpin|round
📎	paperclip
📏	angle|edge|math|ruler|straight|straightedge
📐	angle|math|rule|ruler|set|slide|triangle|triangular
📑	bookmark|mark|marker|tabs
📒	ledger|notebook
📓	notebook
📔	book|cover|decorated|decorative|education|notebook|school|writing
📕	book|closed|education
📖	book|education|fantasy|knowledge|library|novels|open|reading
📗	book|education|fantasy|green|library|reading
📘	blue|book|education|fantasy|library|reading
📙	book|education|fantasy|library|orange|reading
📚	book|books|education|fantasy|knowledge|library|novels|reading|school|study
📛	badge|name
📜	paper|scroll
📝	communication|media|memo|notes|pencil
📞	communication|phone|receiver|telephone|voip
📟	communication|pager
📠	communication|fax|machine
📡	aliens|antenna|contact|dish|satellite|science
📢	address|communication|loud|loudspeaker|public|sound
📣	cheering|megaphone|sound
📤	box|email|letter|mail|outbox|sent|tray
📥	box|email|inbox|letter|mail|receive|tray|zero
📦	box|communication|delivery|package|parcel|shipping
📧	mail|email|letter
📨	delivering|mail|email|envelope|incoming|letter|receive|sent
📩	arrow|communication|down|mail|email|envelope|letter|outgoing|send|sent
📪	closed|flag|lowered|mail|mailbox|postbox
📫	closed|communication|flag|mail|mailbox|postbox|raised
📬	flag|mail|mailbox|open|postbox|raised
📭	flag|lowered|mail|mailbox|open|postbox
📮	mail|mailbox|postbox
📯	horn|post|postal
📰	communication|news|newspaper|paper
📱	cell|communication|mobile|phone|telephone
📲	arrow|build|call|cell|communication|mobile|phone|receive|telephone
📳	cell|communication|mobile|mode|phone|telephone|vibration
📴	cell|mobile|off|phone|telephone
📵	cell|forbidden|mobile|no|not|phone|phones|prohibited|telephone
📶	antenna|bar|bars|cell|communication|mobile|phone|signal|telephone
📷	camera|photo|selfie|snap|tbt|trip|video
📸	camera|flash|video
📹	camcorder|camera|tbt|video
📺	television|tv|video
📻	entertainment|radio|tbt|video
📼	old|school|tape|vcr|vhs|video|videocassette
📽	cinema|film|movie|projector|video
📿	beads|clothing|necklace|prayer|religion
🔀	arrow|button|crossed|shuffle|tracks
🔁	arrow|button|clockwise|repeat
🔂	arrow|button|clockwise|once|repeat|single
🔃	arrow|arrows|clockwise|refresh|reload|vertical
🔄	again|anticlockwise|arrow|arrows|button|counterclockwise|deja|refresh|rewindershins|vu
🔅	brightness|button|dim|low
🔆	bright|brightness|button|light
🔇	mute|muted|quiet|silent|sound|speaker
🔈	low|soft|sound|speaker|volume
🔉	medium|sound|speaker|volume
🔊	high|loud|music|sound|speaker|volume
🔋	battery
🔌	electric|electricity|plug
🔍	glass|lab|left|pointing|magnifying|science|search|tilted|tool
🔎	contact|glass|lab|magnifying|right|pointing|science|search|tilted|tool
🔏	ink|lock|locked|nib|pen|privacy
🔐	bike|closed|key|lock|locked|secure
🔑	key|keys|lock|major|password|unlock
🔒	closed|lock|locked|private
🔓	cracked|lock|open|unlock|unlocked
🔔	bell|break|church|sound
🔕	bell|forbidden|mute|no|not|prohibited|quiet|silent|slash|sound
🔖	bookmark|mark
🔗	link|links
🔘	button|geometric|radio
🔙	arrow|back
🔚	arrow|end
🔛	arrow|mark
🔜	arrow|brb|omw|soon
🔝	arrow|homie|top|up
🔞	18|age|eighteen|forbidden|no|not|one|prohibited|restriction|underage|under
🔟	keycap|10
🔠	abcd|input|latin|letters|uppercase
🔡	abcd|input|latin|letters|lowercase
🔢	1234|input|numbers
🔣	input|symbols
🔤	abc|alphabet|input|latin|letters
🔥	af|burn|fire|flame|hot|lit|litaf|tool
🔦	electric|flashlight|light|tool|torch
🔧	home|improvement|spanner|tool|wrench
🔨	hammer|home|improvement|repairs|tool
🔩	bolt|home|improvement|nut|tool
🔪	chef|cooking|hocho|kitchen|knife|tool|weapon
🔫	gun|handgun|pistol|revolver|tool|water|weapon
🔬	experiment|lab|microscope|science|tool
🔭	contact|extraterrestrial|science|telescope|tool
🔮	ball|crystal|fairy|fairytale|fantasy|fortune|future|magic|tale|tool
🔯	dotted|fortune|jewish|judaism|six|pointed|star
🔰	beginner|chevron|green|japanese|leaf|symbol|tool|yellow
🔱	anchor|emblem|poseidon|ship|tool|trident
🔲	black|button|geometric|square
🔳	button|geometric|outlined|square|white
🔴	circle|geometric|red
🔵	blue|circle|geometric
🔶	diamond|geometric|large|orange
🔷	blue|diamond|geometric|large
🔸	diamond|geometric|orange|small
🔹	blue|diamond|geometric|small
🔺	geometric|pointed|red|triangle|up
🔻	down|geometric|pointed|red|triangle
🔼	arrow|button|red|up|upwards
🔽	arrow|button|down|downwards|red
🕉	hindu|om|religion
🕊	bird|dove|fly|ornithology|peace
🕋	hajj|islam|kaaba|muslim|religion|umrah
🕌	islam|masjid|mosque|muslim|religion
🕍	jew|jewish|judaism|religion|synagogue|temple
🕎	candelabrum|candlestick|hanukkah|jewish|judaism|menorah|religion
🕐	00|clock|one|time
🕑	00|clock|time|two
🕒	00|clock|three|time
🕓	00|clock|four|time
🕔	00|clock|five|time
🕕	00|clock|six|time
🕖	00|clock|seven
🕗	00|clock|eight|time
🕘	00|clock|nine|time
🕙	10|00|clock|ten
🕚	11|00|clock|eleven|time
🕛	12|00|clock|time|twelve
🕜	30|clock|one|thirty|time
🕝	30|clock|thirty|time|two
🕞	30|clock|thirty|three|time
🕟	30|clock|four|thirty|time
🕠	30|clock|five|thirty|time
🕡	30|clock|six|thirty
🕢	30|clock|seven|thirty
🕣	30|clock|eight|thirty|time
🕤	30|clock|nine|thirty|time
🕥	10|30|clock|ten|thirty|time
🕦	11|30|clock|eleven|thirty|time
🕧	12|30|clock|thirty|time|twelve
🕯	candle|light
🕰	clock|mantelpiece|time
🕳	hole
🕴	business|levitating|person|suit
🕴🏻	business|levitating|light|skin|tone|person|suit
🕴🏼	business|levitating|medium|light|skin|tone|person|suit
🕴🏽	business|levitating|medium|skin|tone|person|suit
🕴🏾	business|levitating|medium|dark|skin|tone|person|suit
🕴🏿	business|dark|skin|tone|levitating|person|suit
🕵	detective|sleuth|spy
🕵‍♀	detective|sleuth|spy|woman
🕵‍♂	detective|man|sleuth|spy
🕵🏻	detective|light|skin|tone|sleuth|spy
🕵🏻‍♀	detective|light|skin|tone|sleuth|spy|woman
🕵🏻‍♂	detective|light|skin|tone|man|sleuth|spy
🕵🏼	detective|medium|light|skin|tone|sleuth|spy
🕵🏼‍♀	detective|medium|light|skin|tone|sleuth|spy|woman
🕵🏼‍♂	detective|man|medium|light|skin|tone|sleuth|spy
🕵🏽	detective|medium|skin|tone|sleuth|spy
🕵🏽‍♀	detective|medium|skin|tone|sleuth|spy|woman
🕵🏽‍♂	detective|man|medium|skin|tone|sleuth|spy
🕵🏾	detective|medium|dark|skin|tone|sleuth|spy
🕵🏾‍♀	detective|medium|dark|skin|tone|sleuth|spy|woman
🕵🏾‍♂	detective|man|medium|dark|skin|tone|sleuth|spy
🕵🏿	dark|skin|tone|detective|sleuth|spy
🕵🏿‍♀	dark|skin|tone|detective|sleuth|spy|woman
🕵🏿‍♂	dark|skin|tone|detective|man|sleuth|spy
🕶	dark|eye|eyewear|glasses|sunglasses
🕷	animal|insect|spider
🕸	spider|web
🕹	game|joystick|video|videogame
🕺	dance|dancer|dancing|elegant|festive|flair|flamenco|groove|let|man|salsa|tango
🕺🏻	dance|dancer|dancing|elegant|festive|flair|flamenco|groove|let|light|skin|tone|man|salsa|tango
🕺🏼	dance|dancer|dancing|elegant|festive|flair|flamenco|groove|let|man|medium|light|skin|tone|salsa|tango
🕺🏽	dance|dancer|dancing|elegant|festive|flair|flamenco|groove|let|man|medium|skin|tone|salsa|tango
🕺🏾	dance|dancer|dancing|elegant|festive|flair|flamenco|groove|let|man|medium|dark|skin|tone|salsa|tango
🕺🏿	dance|dancer|dancing|dark|skin|tone|elegant|festive|flair|flamenco|groove|let|man|salsa|tango
🖇	link|linked|paperclip|paperclips
🖊	ballpoint|pen
🖋	fountain|pen
🖌	paintbrush|painting
🖍	crayon
🖐	finger|fingers|hand|raised|splayed|stop
🖐🏻	finger|fingers|hand|light|skin|tone|raised|splayed|stop
🖐🏼	finger|fingers|hand|medium|light|skin|tone|raised|splayed|stop
🖐🏽	finger|fingers|hand|medium|skin|tone|raised|splayed|stop
🖐🏾	finger|fingers|hand|medium|dark|skin|tone|raised|splayed|stop
🖐🏿	dark|skin|tone|finger|fingers|hand|raised|splayed|stop
🖕	finger|hand|middle
🖕🏻	finger|hand|light|skin|tone|middle
🖕🏼	finger|hand|medium|light|skin|tone|middle
🖕🏽	finger|hand|medium|skin|tone|middle
🖕🏾	finger|hand|medium|dark|skin|tone|middle
🖕🏿	dark|skin|tone|finger|hand|middle
🖖	finger|hand|hands|salute|vulcan
🖖🏻	finger|hand|hands|light|skin|tone|salute|vulcan
🖖🏼	finger|hand|hands|medium|light|skin|tone|salute|vulcan
🖖🏽	finger|hand|hands|medium|skin|tone|salute|vulcan
🖖🏾	finger|hand|hands|medium|dark|skin|tone|salute|vulcan
🖖🏿	dark|skin|tone|finger|hand|hands|salute|vulcan
🖤	black|evil|heart|wicked
🖥	computer|desktop|monitor
🖨	computer|printer
🖱	computer|mouse
🖲	computer|trackball
🖼	art|frame|framed|museum|painting|picture
🗂	card|dividers|index
🗃	box|card|file
🗄	cabinet|file|filing|paper
🗑	can|garbage|trash|waste|wastebasket
🗒	note|notepad|pad|spiral
🗓	calendar|pad|spiral
🗜	clamp|compress|tool|vice
🗝	clue|key|lock|old
🗞	news|newspaper|paper|rolled|up
🗡	dagger|knife|weapon
🗣	face|head|silhouette|speak|speaking
🗨	balloon|bubble|dialog|left|speech
🗯	anger|angry|balloon|bubble|mad|right
🗳	ballot|box
🗺	map|world
🗻	fuji|mount|mountain|nature
🗼	tokyo|tower
🗽	liberty|new|ny|nyc|statue|york
🗾	japan|map
🗿	face|moai|moyai|statue|stoneface|travel
😀	cheerful|cheery|face|grin|grinning|happy|laugh|nice|smile|smiling|teeth
😁	beaming|eye|eyes|face|grin|grinning|happy|nice|smile|smiling|teeth
😂	crying|face|feels|funny|haha|happy|hehe|hilarious|joy|laugh|lmao|lol|rofl|roflmao|tear|tears
😃	awesome|big|eyes|face|grin|grinning|happy|mouth|open|smile|smiling|teeth|yay
😄	eye|eyes|face|grin|grinning|happy|laugh|lol|mouth|open|smile|smiling
😅	cold|dejected|excited|face|grinning|mouth|nervous|open|smile|smiling|stress|stressed|sweat
😆	closed|eyes|face|grinning|haha|hahaha|happy|laugh|lol|mouth|open|rofl|smile|smiling|squinting
😇	angel|angelic|angels|blessed|face|fairy|fairytale|fantasy|halo|happy|innocent|peaceful|smile|smiling|spirit|tale
😈	demon|devil|evil|face|fairy|fairytale|fantasy|horns|purple|shade|smile|smiling|tale
😉	face|flirt|heartbreaker|sexy|slide|tease|wink|winking|winks
😊	blush|eye|eyes|face|glad|satisfied|smile|smiling
😋	delicious|eat|face|food|full|hungry|savor|smile|smiling|tasty|um|yum|yummy|savoring
😌	calm|face|peace|relief|relieved|zen
😍	143|bae|eye|face|feels|heart|eyes|hearts|ily|kisses|love|romance|romantic|smile|xoxo|smiling
😎	awesome|beach|bright|bro|chilling|cool|face|rad|relaxed|shades|slay|smile|style|sunglasses|swag|win|smiling
😏	boss|dapper|face|flirt|homie|kidding|leer|shade|slick|sly|smirk|smug|snicker|suave|suspicious|swag|smirking
😐	awkward|blank|deadpan|expressionless|face|fine|jealous|meh|neutral|oh|shade|straight|unamused|unhappy|unimpressed|whatever
😑	awkward|dead|expressionless|face|fine|inexpressive|jealous|meh|not|oh|omg|straight|uh|unhappy|unimpressed|whatever
😒	bored|face|fine|jealous|jel|jelly|pissed|smh|ugh|uhh|unamused|unhappy|weird|whatever
😓	close|cold|downcast|face|feels|headache|nervous|sad|scared|sweat|yikes
😔	awful|bored|dejected|died|disappointed|face|losing|lost|pensive|sad|sucks
😕	befuddled|confused|confusing|dunno|face|frown|hm|meh|not|sad|sorry|sure
😖	annoyed|confounded|confused|cringe|distraught|face|feels|frustrated|mad|sad
😗	143|date|dating|face|flirt|ily|kiss|love|smooch|smooches|xoxo|you|kissing
😘	adorbs|bae|blowing|face|flirt|heart|ily|kiss|love|lover|miss|muah|romantic|smooch|xoxo|you
😙	143|closed|date|dating|eye|eyes|face|flirt|ily|kiss|kisses|kissing|love|night|smile|smiling
😚	143|bae|blush|closed|date|dating|eye|eyes|face|flirt|ily|kisses|kissing|smooches|xoxo
😛	awesome|cool|face|nice|party|stuck|out|sweet|tongue
😜	crazy|epic|eye|face|funny|joke|loopy|nutty|party|stuck|out|tongue|wacky|weirdo|wink|winking|yolo
😝	closed|eye|eyes|face|gross|horrible|omg|squinting|stuck|out|taste|tongue|whatever|yolo
😞	awful|blame|dejected|disappointed|face|fail|losing|sad|unhappy
😟	anxious|butterflies|face|nerves|nervous|sad|stress|stressed|surprised|worried|worry
😠	anger|angry|blame|face|feels|frustrated|mad|maddening|rage|shade|unhappy|upset
😡	anger|angry|enraged|face|feels|mad|maddening|pouting|rage|red|shade|unhappy|upset
😢	awful|cry|crying|face|feels|miss|sad|tear|triste|unhappy
😣	concentrate|concentration|face|focus|headache|persevere|persevering
😤	anger|angry|face|feels|fume|fuming|furious|fury|mad|nose|steam|triumph|unhappy|won
😥	anxious|call|close|complicated|disappointed|face|not|relieved|sad|sweat|time|whew
😦	caught|face|frown|frowning|guard|mouth|open|scared|scary|surprise|what|wow
😧	anguished|face|forgot|scared|scary|stressed|surprise|unhappy|what|wow
😨	afraid|anxious|blame|face|fear|fearful|scared|worried
😩	crying|face|fail|feels|hungry|mad|nooo|sad|sleepy|tired|unhappy|weary
😪	crying|face|good|night|sad|sleep|sleeping|sleepy|tired
😫	cost|face|feels|nap|sad|sneeze|tired
😬	awk|awkward|dentist|face|grimace|grimacing|grinning|smile|smiling
😭	bawling|cry|crying|face|loudly|sad|sob|tear|tears|unhappy
😮	believe|face|forgot|mouth|omg|open|shocked|surprised|sympathy|unbelievable|unreal|whoa|wow|you
😮‍💨	blow|blowing|exhale|exhaling|exhausted|face|gasp|groan|relief|sigh|smiley|smoke|whisper|whistle
😯	epic|face|hushed|omg|stunned|surprised|whoa|woah
😰	anxious|blue|cold|eek|face|mouth|nervous|open|rushed|scared|sweat|yikes
😱	epic|face|fear|fearful|munch|scared|scream|screamer|screaming|shocked|surprised|woah
😲	astonished|cost|face|no|omg|shocked|totally|way
😳	amazed|awkward|crazy|dazed|dead|disbelief|embarrassed|face|flushed|geez|heat|hot|impressed|jeez|what|wow
😴	bed|bedtime|face|good|goodnight|nap|night|sleep|sleeping|tired|whatever|yawn|zzz
😵	crossed|out|dead|dizzy|eyes|face|feels|knocked|sick|tired
😵‍💫	confused|dizzy|eyes|face|hypnotized|omg|smiley|spiral|trouble|whoa|woah|woozy
😶	awkward|blank|expressionless|face|mouth|mouthless|mute|quiet|secret|silence|silent|speechless
😶‍🌫	absentminded|clouds|face|fog|head
😷	cold|dentist|dermatologist|doctor|dr|face|germs|mask|medical|medicine|sick
😸	animal|cat|eye|eyes|face|grin|grinning|smile|smiling
😹	animal|cat|face|joy|laugh|laughing|lol|tear|tears
😺	animal|cat|face|grinning|mouth|open|smile|smiling
😻	animal|cat|eye|face|heart|eyes|love|smile|smiling
😼	animal|cat|face|ironic|smile|wry
😽	animal|cat|closed|eye|eyes|face|kiss|kissing
😾	animal|cat|face|pouting
😿	animal|cat|cry|crying|face|sad|tear
🙀	animal|cat|face|oh|surprised|weary
🙁	face|frown|frowning|sad|slightly
🙂	face|happy|slightly|smile|smiling
🙂‍↔	head|horizontally|no|shake|shaking
🙂‍↕	head|nod|shaking|vertically|yes
🙃	face|hehe|smile|upside|down
🙄	eyeroll|eyes|face|rolling|shade|ugh|whatever
🙅	forbidden|gesture|hand|no|not|person|prohibit|gesturing
🙅‍♀	forbidden|gesture|hand|no|not|prohibit|woman|gesturing
🙅‍♂	forbidden|gesture|hand|man|no|not|prohibit|gesturing
🙅🏻	forbidden|gesture|hand|light|skin|tone|no|not|person|prohibit|gesturing
🙅🏻‍♀	forbidden|gesture|hand|light|skin|tone|no|not|prohibit|woman|gesturing
🙅🏻‍♂	forbidden|gesture|hand|light|skin|tone|man|no|not|prohibit|gesturing
🙅🏼	forbidden|gesture|hand|medium|light|skin|tone|no|not|person|prohibit|gesturing
🙅🏼‍♀	forbidden|gesture|hand|medium|light|skin|tone|no|not|prohibit|woman|gesturing
🙅🏼‍♂	forbidden|gesture|hand|man|medium|light|skin|tone|no|not|prohibit|gesturing
🙅🏽	forbidden|gesture|hand|medium|skin|tone|no|not|person|prohibit|gesturing
🙅🏽‍♀	forbidden|gesture|hand|medium|skin|tone|no|not|prohibit|woman|gesturing
🙅🏽‍♂	forbidden|gesture|hand|man|medium|skin|tone|no|not|prohibit|gesturing
🙅🏾	forbidden|gesture|hand|medium|dark|skin|tone|no|not|person|prohibit|gesturing
🙅🏾‍♀	forbidden|gesture|hand|medium|dark|skin|tone|no|not|prohibit|woman|gesturing
🙅🏾‍♂	forbidden|gesture|hand|man|medium|dark|skin|tone|no|not|prohibit|gesturing
🙅🏿	dark|skin|tone|forbidden|gesture|hand|no|not|person|prohibit|gesturing
🙅🏿‍♀	dark|skin|tone|forbidden|gesture|hand|no|not|prohibit|woman|gesturing
🙅🏿‍♂	dark|skin|tone|forbidden|gesture|hand|man|no|not|prohibit|gesturing
🙆	exercise|gesture|gesturing|hand|ok|omg|person
🙆‍♀	exercise|gesture|gesturing|hand|ok|omg|woman
🙆‍♂	exercise|gesture|gesturing|hand|man|ok|omg
🙆🏻	exercise|gesture|gesturing|hand|light|skin|tone|ok|omg|person
🙆🏻‍♀	exercise|gesture|gesturing|hand|light|skin|tone|ok|omg|woman
🙆🏻‍♂	exercise|gesture|gesturing|hand|light|skin|tone|man|ok|omg
🙆🏼	exercise|gesture|gesturing|hand|medium|light|skin|tone|ok|omg|person
🙆🏼‍♀	exercise|gesture|gesturing|hand|medium|light|skin|tone|ok|omg|woman
🙆🏼‍♂	exercise|gesture|gesturing|hand|man|medium|light|skin|tone|ok|omg
🙆🏽	exercise|gesture|gesturing|hand|medium|skin|tone|ok|omg|person
🙆🏽‍♀	exercise|gesture|gesturing|hand|medium|skin|tone|ok|omg|woman
🙆🏽‍♂	exercise|gesture|gesturing|hand|man|medium|skin|tone|ok|omg
🙆🏾	exercise|gesture|gesturing|hand|medium|dark|skin|tone|ok|omg|person
🙆🏾‍♀	exercise|gesture|gesturing|hand|medium|dark|skin|tone|ok|omg|woman
🙆🏾‍♂	exercise|gesture|gesturing|hand|man|medium|dark|skin|tone|ok|omg
🙆🏿	dark|skin|tone|exercise|gesture|gesturing|hand|ok|omg|person
🙆🏿‍♀	dark|skin|tone|exercise|gesture|gesturing|hand|ok|omg|woman
🙆🏿‍♂	dark|skin|tone|exercise|gesture|gesturing|hand|man|ok|omg
🙇	apology|ask|beg|bow|bowing|favor|forgive|gesture|meditate|meditation|person|pity|regret|sorry
